unit,na_item,sector,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC_GDP,D62PAY,S1311,CY	5.3 	5.4 	5.1 	5.1 	5.6 	6.0 	6.4 	6.4 	5.7 	5.2 	5.3 	5.5 
PC_GDP,D62PAY,S1311,CZ	11.4 	11.1 	11.2 	11.4 	11.3 	12.4 	12.4 	12.4 	13.0 	13.2 	12.8 	12.4 
PC_GDP,D62PAY,S1311,DE	2.3 	2.6 	2.5 	2.3 	2.3 	2.4 	2.3 	2.1 	2.1 	2.1 	2.0 	2.0 
PC_GDP,D62PAY,S1311,DK	3.1 	2.9 	2.8 	2.6 	2.7 	3.1 	3.2 	3.2 	3.2 	3.3 	3.4 	3.3 
PC_GDP,D62PAY,S1311,EA18	2.2 	2.3 	2.4 	2.3 	2.4 	2.7 	2.6 	2.5 	2.5 	2.6 	2.6 	2.6 
PC_GDP,D62PAY,S1311,EA19	2.2 	2.3 	2.4 	2.3 	2.4 	2.7 	2.6 	2.5 	2.5 	2.6 	2.6 	2.6 
PC_GDP,D62PAY,S1311,EE	8.1 	7.8 	7.6 	7.4 	9.0 	11.4 	11.3 	10.1 	9.6 	9.6 	9.7 	10.4 
PC_GDP,D62PAY,S1311,EL	2.4 	2.4 	2.4 	2.6 	2.9 	3.3 	3.2 	3.6 	3.8 	3.7 	4.1 	4.2 
PC_GDP,D62PAY,S1311,ES	1.1 	1.1 	1.1 	1.1 	1.2 	1.3 	1.4 	1.4 	1.4 	1.5 	1.5 	1.5 
PC_GDP,D62PAY,S1311,EU27	4.0 	4.0 	4.0 	4.0 	3.9 	4.3 	4.3 	4.2 	4.4 	4.3 	4.4 	4.5 
PC_GDP,D62PAY,S1311,EU28	4.0 	4.0 	4.0 	4.0 	3.9 	4.3 	4.3 	4.2 	4.4 	4.3 	4.4 	4.5 
PC_GDP,D62PAY,S1311,FI	2.0 	2.0 	1.9 	1.8 	1.8 	2.1 	2.0 	2.0 	2.0 	2.0 	2.1 	2.1 
PC_GDP,D62PAY,S1311,FR	3.1 	3.1 	3.4 	3.4 	3.4 	3.7 	3.6 	3.5 	3.6 	3.6 	3.6 	3.6 
PC_GDP,D62PAY,S1311,HR	1.1 	1.0 	1.1 	1.1 	0.8 	1.1 	1.4 	1.7 	1.1 	1.3 	1.3 	0.7 
PC_GDP,D62PAY,S1311,HU	3.2 	3.2 	3.6 	3.6 	3.5 	3.8 	3.5 	3.2 	3.5 	3.2 	2.8 	2.6 
PC_GDP,D62PAY,S1311,IE	7.1 	8.5 	8.7 	9.3 	11.1 	13.7 	13.7 	13.3 	13.3 	12.7 	11.7 	8.9 
PC_GDP,D62PAY,S1311,IS	1.1 	1.0 	1.0 	1.0 	1.0 	1.3 	1.4 	1.7 	1.3 	1.1 	0.9 	0.8 
