unit,sector,na_item,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC_GDP,S13,B9,CZ	2.7 	3.1 	2.3 	0.7 	2.1 	5.5 	4.4 	2.7 	3.9 	1.2 	1.9 	0.6 
PC_GDP,S13,B9,DE	3.7 	3.4 	1.7 	0.2 	0.2 	3.2 	4.2 	1.0 	0.0 	0.2 	0.3 	0.7 
PC_GDP,S13,B9,DK	2.1 	5.0 	5.0 	5.0 	3.2 	2.8 	2.7 	2.1 	3.5 	1.1 	1.5 	1.7 
PC_GDP,S13,B9,EA18	3.0 	2.6 	1.5 	0.6 	2.2 	6.3 	6.2 	4.2 	3.6 	3.0 	2.6 	2.1 
PC_GDP,S13,B9,EA19	3.0 	2.6 	1.5 	0.6 	2.2 	6.3 	6.2 	4.2 	3.6 	3.0 	2.6 	2.1 
PC_GDP,S13,B9,EE	2.4 	1.1 	2.9 	2.7 	2.7 	2.2 	0.2 	1.2 	0.3 	0.2 	0.7 	0.1 
PC_GDP,S13,B9,EL	8.8 	6.2 	5.9 	6.7 	10.2 	15.1 	11.2 	10.3 	8.8 	13.2 	3.6 	7.5 
PC_GDP,S13,B9,ES	0.0 	1.2 	2.2 	2.0 	4.4 	11.0 	9.4 	9.6 	10.5 	7.0 	6.0 	5.1 
PC_GDP,S13,B9,EU27	2.9 	2.5 	1.6 	0.9 	2.4 	6.6 	6.4 	4.6 	4.3 	3.3 	3.0 	2.4 
PC_GDP,S13,B9,EU28	2.9 	2.5 	1.6 	0.9 	2.4 	6.6 	6.4 	4.6 	4.3 	3.3 	3.0 	2.4 
PC_GDP,S13,B9,FI	2.2 	2.6 	3.9 	5.1 	4.2 	2.5 	2.6 	1.0 	2.2 	2.6 	3.2 	2.8 
PC_GDP,S13,B9,FR	3.5 	3.2 	2.3 	2.5 	3.2 	7.2 	6.8 	5.1 	4.8 	4.0 	4.0 	3.5 
PC_GDP,S13,B9,HR	5.2 	3.9 	3.4 	2.4 	2.8 	6.0 	6.2 	7.8 	5.3 	5.3 	5.4 	3.3 
PC_GDP,S13,B9,HU	6.3 	7.8 	9.3 	5.1 	3.6 	4.6 	4.5 	5.5 	2.3 	2.6 	2.1 	1.6 
PC_GDP,S13,B9,IE	1.3 	1.6 	2.8 	0.3 	7.0 	13.8 	32.1 	12.6 	8.0 	5.7 	3.7 	1.9 
PC_GDP,S13,B9,IT	3.6 	4.2 	3.6 	1.5 	2.7 	5.3 	4.2 	3.7 	2.9 	2.7 	3.0 	2.6 
PC_GDP,S13,B9,LT	1.4 	0.3 	0.3 	0.8 	3.1 	9.1 	6.9 	8.9 	3.1 	2.6 	0.7 	0.2 
PC_GDP,S13,B9,LU	1.3 	0.1 	2.0 	4.2 	3.4 	0.7 	0.7 	0.5 	0.3 	1.0 	1.5 	1.6 
PC_GDP,S13,B9,LV	1.0 	0.4 	0.6 	0.7 	4.1 	9.1 	8.5 	3.4 	0.8 	0.9 	1.6 	1.3 
PC_GDP,S13,B9,MT	4.4 	2.7 	2.6 	2.3 	4.2 	3.3 	3.2 	2.5 	3.6 	2.6 	2.1 	1.4 
PC_GDP,S13,B9,NL	1.7 	0.3 	0.2 	0.2 	0.2 	5.4 	5.0 	4.3 	3.9 	2.4 	2.3 	1.9 
PC_GDP,S13,B9,PL	5.0 	4.0 	3.6 	1.9 	3.6 	7.3 	7.3 	4.8 	3.7 	4.1 	3.4 	2.6 
PC_GDP,S13,B9,PT	6.2 	6.2 	4.3 	3.0 	3.8 	9.8 	11.2 	7.4 	5.7 	4.8 	7.2 	4.4 
PC_GDP,S13,B9,RO	1.1 	0.8 	2.1 	2.8 	5.5 	9.5 	6.9 	5.4 	3.7 	2.1 	0.8 	0.8 
PC_GDP,S13,B9,SE	0.3 	1.8 	2.2 	3.3 	1.9 	0.7 	0.1 	0.2 	1.0 	1.4 	1.6 	0.2 
PC_GDP,S13,B9,SI	2.0 	1.3 	1.2 	0.1 	1.4 	5.9 	5.6 	6.7 	4.1 	15.0 	5.0 	2.7 
PC_GDP,S13,B9,SK	2.3 	2.9 	3.6 	1.9 	2.4 	7.8 	7.5 	4.3 	4.3 	2.7 	2.7 	2.7 
PC_GDP,S13,B9,UK	3.4 	3.3 	2.7 	2.9 	4.9 	10.2 	9.6 	7.6 	8.3 	5.7 	5.7 	4.3 
